,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,libraries
0,"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2,"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
14,"Agell, Charlotte",The Accidental Adventures of India McAllister,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
18,"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
24,"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
26,"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
41,"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,"Forney, Ellen",,Florida,Indian River County School District,November 2021,Administrator,True
58,"Alger, Cristina",Girls Like Us (2019),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
65,"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
77,"Anderson, Laurie Halse",Speak,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
83,"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
98,"Andrews, Jesse",The Haters,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
103,"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
106,"Anstey, Cindy",Duels and Deception,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administrator,True
108,"Applegate, Katherine",Wishtree,Banned in Libraries and Classrooms,,"Santoso, Charles",,Florida,Indian River County School District,November 2021,Administrator,True
115,"Arnold, Elana K.",Infandous,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
118,"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administrator,True
120,"Asano, Inio",A Girl on the Shore,Banned in Libraries and Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administrator,True
122,"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,True
138,"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries,,,,Georgia,Forsyth County Schools,January 2022,Administrator,True
147,"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Libraries,,"Nault, Renee",,Oregon,Medford School District 549C,April 2022,Formal Challenge,True
152,"Atwood, Megan",Raise the Stakes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
156,"Bailey, Jacqui","Sex, Puberty, and All That Stuff: A Guide to Growing Up",Banned in Libraries,,"McCafferty, Jan",,Texas,North East Independent School District,December 2021,Administrator,True
188,"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge,True
196,"Beckman, Wendy Hart","Dating, Relationships, And Sexuality: What Teens Should Know",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
199,"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries,"Bieschke, Marke","Robinson, Christopher",,Florida,St. Johns County School District,May 2022,Formal Challenge,True
204,"Bell, Eric",Alan Cole Is Not a Coward,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
206,"Bell, William",Death Wind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
207,"Bell, William",La tormenta,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
209,"Benincasa, Sara",Great,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
212,"Benway, Robin",Far from the Tree,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator,True
219,"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,February 2022,Administrator,True
221,"Bevan, Thomas E.",Being Transgender: What You Should Know,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
